"report_title","publication_date","report_url","year","month","disease","country","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus - Global update","24 December 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON591","2025","December","Middle East respiratory syndrome coronavirus","Global update","","","","","","","","","","","","",""
"Seasonal influenza - Global situation","10 December 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON586","2025","December","Seasonal influenza","Global situation","","","","","","","","","","","","",""
"Broader transmission of mpox due to clade Ib MPXV – Global situation","05 December 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON587","2025","December","Broader transmission of mpox due to clade Ib MPXV","Global situation","","","","","","","","","","","","",""
"Avian Influenza A(H5N5) - United States of America","05 December 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON590","2025","December","Avian Influenza A(H5N5)","United States of America","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","01 December 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON589","2025","December","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Diphtheria - African Region (AFRO)","21 November 2025","https://www.who.int/emergencies/disease-outbreak-news/item/DON588","2025","November","Diphtheria","African Region (AFRO)","","","","","","","","","","","","",""
"Marburg virus disease - Ethiopia","21 November 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON585","2025","November","Marburg virus disease","Ethiopia","","","","","","","","","","","","",""
"Rift Valley fever- Mauritania and Senegal","05 November 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON584","2025","November","Rift Valley fever","Mauritania and Senegal","","","","","","","","","","","","",""
"Chikungunya virus disease- Global situation","03 October 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON581","2025","October","Chikungunya virus disease","Global situation","","","","","","","","","","","","",""
"Nipah virus infection - Bangladesh","18 September 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON582","2025","September","Nipah virus infection","Bangladesh","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","05 September 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON580","2025","September","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Cholera – Multi-country with a focus on countries experiencing current surges","29 August 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON579","2025","August","Cholera","Multi- country with a focus on countries experiencing current surges","","","","","","","","","","","","",""
"Circulating vaccine-derived poliovirus type 1 - Israel","20 August 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON578","2025","August","Circulating vaccine","Israel","","","","","","","","","","","","",""
"Nipah virus infection - India","06 August 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON577","2025","August","Nipah virus infection","India","","","","","","","","","","","","",""
"Rabies - Timor-Leste","24 July 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON576","2025","July","Rabies","Leste","","","","","","","","","","","","",""
"Avian Influenza A(H5N1) - Cambodia","05 July 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON575","2025","July","Avian Influenza A(H5N1)","Cambodia","","","","","","","","","","","","",""
