2026-06-26 15:51:48,419 | INFO | WHO Scraper Started
2026-06-26 15:51:48,433 | INFO | Initializing Chrome Driver...
2026-06-26 15:51:48,448 | INFO | ====== WebDriver manager ======
2026-06-26 15:51:53,672 | INFO | Driver [C:\Users\USER\.wdm\drivers\chromedriver\win64\149.0.7827.155\chromedriver-win64/chromedriver.exe] found in cache by browser version
2026-06-26 15:51:58,536 | INFO | Opening WHO website...
2026-06-26 15:52:27,000 | INFO | Attempt 1
2026-06-26 15:52:27,023 | INFO | Processing page 1...
2026-06-26 15:52:27,188 | INFO | Capturing rendered HTML...
2026-06-26 15:52:27,578 | INFO | Parsing HTML...
2026-06-26 15:52:28,409 | INFO | Searching for outbreak reports...
2026-06-26 15:52:28,469 | INFO | 28 reports found.
2026-06-26 15:52:28,721 | INFO | 28 valid reports extracted.
2026-06-26 15:52:31,779 | INFO | Moved to next page.
2026-06-26 15:52:33,780 | INFO | Processing page 2...
2026-06-26 15:52:33,781 | INFO | Capturing rendered HTML...
2026-06-26 15:52:33,974 | INFO | Parsing HTML...
2026-06-26 15:52:34,317 | INFO | Searching for outbreak reports...
2026-06-26 15:52:34,340 | INFO | 28 reports found.
2026-06-26 15:52:34,349 | INFO | 28 valid reports extracted.
2026-06-26 15:52:37,413 | INFO | Moved to next page.
2026-06-26 15:52:39,414 | INFO | Processing page 3...
2026-06-26 15:52:39,415 | INFO | Capturing rendered HTML...
2026-06-26 15:52:39,701 | INFO | Parsing HTML...
2026-06-26 15:52:39,969 | INFO | Searching for outbreak reports...
2026-06-26 15:52:40,013 | INFO | 28 reports found.
2026-06-26 15:52:40,029 | INFO | 28 valid reports extracted.
2026-06-26 15:52:43,095 | INFO | Moved to next page.
2026-06-26 15:52:45,097 | INFO | Processing page 4...
2026-06-26 15:52:45,098 | INFO | Capturing rendered HTML...
2026-06-26 15:52:45,312 | INFO | Parsing HTML...
2026-06-26 15:52:45,549 | INFO | Searching for outbreak reports...
2026-06-26 15:52:45,569 | INFO | 28 reports found.
2026-06-26 15:52:45,575 | INFO | 28 valid reports extracted.
2026-06-26 15:52:48,637 | INFO | Moved to next page.
2026-06-26 15:52:50,639 | INFO | Processing page 5...
2026-06-26 15:52:50,640 | INFO | Capturing rendered HTML...
2026-06-26 15:52:50,873 | INFO | Parsing HTML...
2026-06-26 15:52:51,133 | INFO | Searching for outbreak reports...
2026-06-26 15:52:51,165 | INFO | 28 reports found.
2026-06-26 15:52:51,172 | INFO | 28 valid reports extracted.
2026-06-26 15:52:54,229 | INFO | Moved to next page.
2026-06-26 15:52:56,230 | INFO | Processing page 6...
2026-06-26 15:52:56,231 | INFO | Capturing rendered HTML...
2026-06-26 15:52:56,561 | INFO | Parsing HTML...
2026-06-26 15:52:56,933 | INFO | Searching for outbreak reports...
2026-06-26 15:52:56,965 | INFO | 28 reports found.
2026-06-26 15:52:56,976 | INFO | 28 valid reports extracted.
2026-06-26 15:53:00,031 | INFO | Moved to next page.
2026-06-26 15:53:02,032 | INFO | Processing page 7...
2026-06-26 15:53:02,033 | INFO | Capturing rendered HTML...
2026-06-26 15:53:02,364 | INFO | Parsing HTML...
2026-06-26 15:53:02,613 | INFO | Searching for outbreak reports...
2026-06-26 15:53:02,647 | INFO | 28 reports found.
2026-06-26 15:53:02,656 | INFO | 28 valid reports extracted.
2026-06-26 15:53:05,715 | INFO | Moved to next page.
2026-06-26 15:53:07,717 | INFO | Processing page 8...
2026-06-26 15:53:07,717 | INFO | Capturing rendered HTML...
2026-06-26 15:53:07,907 | INFO | Parsing HTML...
2026-06-26 15:53:08,250 | INFO | Searching for outbreak reports...
2026-06-26 15:53:08,275 | INFO | 28 reports found.
2026-06-26 15:53:08,286 | INFO | 28 valid reports extracted.
2026-06-26 15:53:11,357 | INFO | Moved to next page.
2026-06-26 15:53:13,360 | INFO | Processing page 9...
